
Debian GNU/Linux 11 syzkaller ttyS0

Warning: Permanently added '[localhost]:35117' (ED25519) to the list of known hosts.
executing program
syzkaller login: [   48.047116][ T6146] loop0: detected capacity change from 0 to 32768
[   48.048724][ T6146] btrfs: Deprecated parameter 'usebackuproot'
[   48.049211][ T6146] BTRFS warning: 'usebackuproot' is deprecated, use 'rescue=usebackuproot' instead
[   48.051953][ T6146] BTRFS: device fsid d09153a9-5497-4f31-8e52-d2d02bbdf7fc devid 1 transid 8 /dev/loop0 (7:0) scanned by syz-executor108 (6146)
[   48.058525][ T6146] BTRFS info (device loop0): first mount of filesystem d09153a9-5497-4f31-8e52-d2d02bbdf7fc
[   48.059490][ T6146] BTRFS info (device loop0): using blake2b (blake2b-256-generic) checksum algorithm
[   48.060162][ T6146] BTRFS info (device loop0): disk space caching is enabled
[   48.074239][ T6146] BTRFS info (device loop0): rebuilding free space tree
[   48.094108][ T6146] BTRFS info (device loop0): disabling free space tree
[   48.094659][ T6146] BTRFS info (device loop0): clearing compat-ro feature flag for FREE_SPACE_TREE (0x1)
[   48.095479][ T6146] BTRFS info (device loop0): clearing compat-ro feature flag for FREE_SPACE_TREE_VALID (0x2)
[   48.149666][ T6145] BTRFS info (device loop0): last unmount of filesystem d09153a9-5497-4f31-8e52-d2d02bbdf7fc
executing program
[   48.298613][ T6170] loop0: detected capacity change from 0 to 32768
[   48.299774][ T6170] btrfs: Deprecated parameter 'usebackuproot'
[   48.300120][ T6170] BTRFS warning: 'usebackuproot' is deprecated, use 'rescue=usebackuproot' instead
[   48.300799][ T6170] BTRFS: device fsid d09153a9-5497-4f31-8e52-d2d02bbdf7fc devid 1 transid 8 /dev/loop0 (7:0) scanned by syz-executor108 (6170)
[   48.310585][ T6170] BTRFS info (device loop0): first mount of filesystem d09153a9-5497-4f31-8e52-d2d02bbdf7fc
[   48.311155][ T6170] BTRFS info (device loop0): using blake2b (blake2b-256-generic) checksum algorithm
[   48.311708][ T6170] BTRFS info (device loop0): disk space caching is enabled
[   48.325745][ T6170] BTRFS info (device loop0): rebuilding free space tree
[   48.328555][ T6170] BTRFS info (device loop0): disabling free space tree
[   48.329003][ T6170] BTRFS info (device loop0): clearing compat-ro feature flag for FREE_SPACE_TREE (0x1)
[   48.329529][ T6170] BTRFS info (device loop0): clearing compat-ro feature flag for FREE_SPACE_TREE_VALID (0x2)
[   48.348207][ T6145] BTRFS info (device loop0): last unmount of filesystem d09153a9-5497-4f31-8e52-d2d02bbdf7fc
executing program
[   48.454212][ T6191] loop0: detected capacity change from 0 to 32768
[   48.455431][ T6191] btrfs: Deprecated parameter 'usebackuproot'
[   48.455777][ T6191] BTRFS warning: 'usebackuproot' is deprecated, use 'rescue=usebackuproot' instead
[   48.456456][ T6191] BTRFS: device fsid d09153a9-5497-4f31-8e52-d2d02bbdf7fc devid 1 transid 8 /dev/loop0 (7:0) scanned by syz-executor108 (6191)
[   48.459809][ T6191] BTRFS info (device loop0): first mount of filesystem d09153a9-5497-4f31-8e52-d2d02bbdf7fc
[   48.460367][ T6191] BTRFS info (device loop0): using blake2b (blake2b-256-generic) checksum algorithm
[   48.460892][ T6191] BTRFS info (device loop0): disk space caching is enabled
[   48.473216][ T6191] BTRFS info (device loop0): rebuilding free space tree
[   48.478828][ T6191] BTRFS info (device loop0): disabling free space tree
[   48.479332][ T6191] BTRFS info (device loop0): clearing compat-ro feature flag for FREE_SPACE_TREE (0x1)
[   48.479969][ T6191] BTRFS info (device loop0): clearing compat-ro feature flag for FREE_SPACE_TREE_VALID (0x2)
[   48.492289][ T6145] BTRFS info (device loop0): last unmount of filesystem d09153a9-5497-4f31-8e52-d2d02bbdf7fc
executing program
[   48.640770][ T6214] loop0: detected capacity change from 0 to 32768
[   48.642919][ T6214] btrfs: Deprecated parameter 'usebackuproot'
[   48.643289][ T6214] BTRFS warning: 'usebackuproot' is deprecated, use 'rescue=usebackuproot' instead
[   48.643996][ T6214] BTRFS: device fsid d09153a9-5497-4f31-8e52-d2d02bbdf7fc devid 1 transid 8 /dev/loop0 (7:0) scanned by syz-executor108 (6214)
[   48.645573][ T6214] BTRFS info (device loop0): first mount of filesystem d09153a9-5497-4f31-8e52-d2d02bbdf7fc
[   48.646169][ T6214] BTRFS info (device loop0): using blake2b (blake2b-256-generic) checksum algorithm
[   48.646666][ T6214] BTRFS info (device loop0): disk space caching is enabled
[   48.653376][ T6214] BTRFS info (device loop0): rebuilding free space tree
[   48.656363][ T6214] BTRFS info (device loop0): disabling free space tree
[   48.656738][ T6214] BTRFS info (device loop0): clearing compat-ro feature flag for FREE_SPACE_TREE (0x1)
[   48.657238][ T6214] BTRFS info (device loop0): clearing compat-ro feature flag for FREE_SPACE_TREE_VALID (0x2)
[   48.676362][ T6145] BTRFS info (device loop0): last unmount of filesystem d09153a9-5497-4f31-8e52-d2d02bbdf7fc
executing program
[   48.774600][ T6235] loop0: detected capacity change from 0 to 32768
[   48.775564][ T6235] btrfs: Deprecated parameter 'usebackuproot'
[   48.775940][ T6235] BTRFS warning: 'usebackuproot' is deprecated, use 'rescue=usebackuproot' instead
[   48.776657][ T6235] BTRFS: device fsid d09153a9-5497-4f31-8e52-d2d02bbdf7fc devid 1 transid 8 /dev/loop0 (7:0) scanned by syz-executor108 (6235)
[   48.778926][ T6235] BTRFS info (device loop0): first mount of filesystem d09153a9-5497-4f31-8e52-d2d02bbdf7fc
[   48.779542][ T6235] BTRFS info (device loop0): using blake2b (blake2b-256-generic) checksum algorithm
[   48.780123][ T6235] BTRFS info (device loop0): disk space caching is enabled
[   48.790637][ T6235] BTRFS info (device loop0): rebuilding free space tree
[   48.794185][ T6235] BTRFS info (device loop0): disabling free space tree
[   48.794571][ T6235] BTRFS info (device loop0): clearing compat-ro feature flag for FREE_SPACE_TREE (0x1)
[   48.795086][ T6235] BTRFS info (device loop0): clearing compat-ro feature flag for FREE_SPACE_TREE_VALID (0x2)
[   48.814012][ T6145] BTRFS info (device loop0): last unmount of filesystem d09153a9-5497-4f31-8e52-d2d02bbdf7fc
executing program
[   48.915496][ T6258] loop0: detected capacity change from 0 to 32768
[   48.916377][ T6258] btrfs: Deprecated parameter 'usebackuproot'
[   48.916723][ T6258] BTRFS warning: 'usebackuproot' is deprecated, use 'rescue=usebackuproot' instead
[   48.917394][ T6258] BTRFS: device fsid d09153a9-5497-4f31-8e52-d2d02bbdf7fc devid 1 transid 8 /dev/loop0 (7:0) scanned by syz-executor108 (6258)
[   48.919448][ T6258] BTRFS info (device loop0): first mount of filesystem d09153a9-5497-4f31-8e52-d2d02bbdf7fc
[   48.920009][ T6258] BTRFS info (device loop0): using blake2b (blake2b-256-generic) checksum algorithm
[   48.920542][ T6258] BTRFS info (device loop0): disk space caching is enabled
[   48.929074][ T6258] BTRFS info (device loop0): rebuilding free space tree
[   48.932042][ T6258] BTRFS info (device loop0): disabling free space tree
[   48.932439][ T6258] BTRFS info (device loop0): clearing compat-ro feature flag for FREE_SPACE_TREE (0x1)
[   48.932939][ T6258] BTRFS info (device loop0): clearing compat-ro feature flag for FREE_SPACE_TREE_VALID (0x2)
[   48.949298][ T6145] BTRFS info (device loop0): last unmount of filesystem d09153a9-5497-4f31-8e52-d2d02bbdf7fc
executing program
