Warning: Permanently added '[localhost]:7284' (ED25519) to the list of known hosts.
2024/05/18 14:43:34 ignoring optional flag "sandboxArg"="0"
2024/05/18 14:43:34 parsed 1 programs
syzkaller login: [  585.403049][ T6171] cgroup: Unknown subsys name 'net'
[  585.603062][ T6171] cgroup: Unknown subsys name 'rlimit'
[  585.852860][ T6171] Adding 124996k swap on ./swap-file.  Priority:0 extents:1 across:124996k 
2024/05/18 14:43:34 executed programs: 0
[  585.981640][ T6203] Bluetooth: hci3: unexpected cc 0x0c03 length: 249 > 1
[  585.982666][ T6203] Bluetooth: hci0: unexpected cc 0x0c03 length: 249 > 1
[  585.983414][ T6203] Bluetooth: hci2: unexpected cc 0x0c03 length: 249 > 1
[  585.984235][ T6203] Bluetooth: hci3: unexpected cc 0x1003 length: 249 > 9
[  585.984766][ T6203] Bluetooth: hci3: unexpected cc 0x1001 length: 249 > 9
[  585.985362][ T6203] Bluetooth: hci3: unexpected cc 0x0c23 length: 249 > 4
[  585.985896][ T6203] Bluetooth: hci3: unexpected cc 0x0c25 length: 249 > 3
[  585.986364][ T6203] Bluetooth: hci3: unexpected cc 0x0c38 length: 249 > 2
[  586.016465][ T6238] Bluetooth: hci0: unexpected cc 0x1003 length: 249 > 9
[  586.017112][ T6238] Bluetooth: hci0: unexpected cc 0x1001 length: 249 > 9
[  586.018176][ T6238] Bluetooth: hci0: unexpected cc 0x0c23 length: 249 > 4
[  586.020768][ T6238] Bluetooth: hci2: unexpected cc 0x1003 length: 249 > 9
[  586.021455][ T6211] Bluetooth: hci0: unexpected cc 0x0c25 length: 249 > 3
[  586.021936][ T6211] Bluetooth: hci2: unexpected cc 0x1001 length: 249 > 9
[  586.022556][ T6238] Bluetooth: hci0: unexpected cc 0x0c38 length: 249 > 2
[  586.023498][   T48] Bluetooth: hci2: unexpected cc 0x0c23 length: 249 > 4
[  586.024120][   T48] Bluetooth: hci2: unexpected cc 0x0c25 length: 249 > 3
[  586.024645][   T48] Bluetooth: hci2: unexpected cc 0x0c38 length: 249 > 2
[  586.084005][ T6211] Bluetooth: hci1: unexpected cc 0x0c03 length: 249 > 1
[  586.085024][ T6211] Bluetooth: hci1: unexpected cc 0x1003 length: 249 > 9
[  586.085850][ T6238] Bluetooth: hci1: unexpected cc 0x1001 length: 249 > 9
[  586.086508][ T6238] Bluetooth: hci1: unexpected cc 0x0c23 length: 249 > 4
[  586.087117][ T6238] Bluetooth: hci1: unexpected cc 0x0c25 length: 249 > 3
[  586.087594][ T6238] Bluetooth: hci1: unexpected cc 0x0c38 length: 249 > 2
[  586.092906][ T6238] Bluetooth: hci4: unexpected cc 0x0c03 length: 249 > 1
[  586.095479][ T3434] Bluetooth: hci4: unexpected cc 0x1003 length: 249 > 9
[  586.096070][ T3434] Bluetooth: hci4: unexpected cc 0x1001 length: 249 > 9
[  586.114094][ T6238] Bluetooth: hci4: unexpected cc 0x0c23 length: 249 > 4
[  586.121671][ T3434] Bluetooth: hci4: unexpected cc 0x0c25 length: 249 > 3
[  586.126072][ T6203] Bluetooth: hci4: unexpected cc 0x0c38 length: 249 > 2
[  586.126694][ T6203] Bluetooth: hci5: unexpected cc 0x0c03 length: 249 > 1
[  586.128421][ T6272] Bluetooth: hci5: unexpected cc 0x1003 length: 249 > 9
[  586.129484][ T6272] Bluetooth: hci5: unexpected cc 0x1001 length: 249 > 9
[  586.130305][ T6272] Bluetooth: hci5: unexpected cc 0x0c23 length: 249 > 4
[  586.130422][   T48] Bluetooth: hci6: unexpected cc 0x0c03 length: 249 > 1
[  586.131054][ T6272] Bluetooth: hci5: unexpected cc 0x0c25 length: 249 > 3
[  586.131568][ T6272] Bluetooth: hci5: unexpected cc 0x0c38 length: 249 > 2
[  586.132246][ T6272] Bluetooth: hci6: unexpected cc 0x1003 length: 249 > 9
[  586.132907][ T6272] Bluetooth: hci6: unexpected cc 0x1001 length: 249 > 9
[  586.135643][ T6238] Bluetooth: hci6: unexpected cc 0x0c23 length: 249 > 4
[  586.136416][ T6238] Bluetooth: hci6: unexpected cc 0x0c25 length: 249 > 3
[  586.136976][ T6238] Bluetooth: hci6: unexpected cc 0x0c38 length: 249 > 2
[  586.166247][   T48] Bluetooth: hci7: unexpected cc 0x0c03 length: 249 > 1
[  586.171705][   T48] Bluetooth: hci7: unexpected cc 0x1003 length: 249 > 9
[  586.174026][   T48] Bluetooth: hci7: unexpected cc 0x1001 length: 249 > 9
[  586.175422][   T48] Bluetooth: hci7: unexpected cc 0x0c23 length: 249 > 4
[  586.178263][   T48] Bluetooth: hci7: unexpected cc 0x0c25 length: 249 > 3
[  586.178807][   T48] Bluetooth: hci7: unexpected cc 0x0c38 length: 249 > 2
[  586.324305][ T6207] chnl_net:caif_netlink_parms(): no params data found
[  586.400377][ T6240] chnl_net:caif_netlink_parms(): no params data found
[  586.433651][ T6194] chnl_net:caif_netlink_parms(): no params data found
[  586.476940][ T6207] bridge0: port 1(bridge_slave_0) entered blocking state
[  586.477411][ T6207] bridge0: port 1(bridge_slave_0) entered disabled state
[  586.477873][ T6207] bridge_slave_0: entered allmulticast mode
[  586.478568][ T6207] bridge_slave_0: entered promiscuous mode
[  586.484328][ T6207] bridge0: port 2(bridge_slave_1) entered blocking state
[  586.484761][ T6207] bridge0: port 2(bridge_slave_1) entered disabled state
[  586.485220][ T6207] bridge_slave_1: entered allmulticast mode
[  586.485890][ T6207] bridge_slave_1: entered promiscuous mode
[  586.504048][ T6253] chnl_net:caif_netlink_parms(): no params data found
[  586.516897][ T6189] chnl_net:caif_netlink_parms(): no params data found
[  586.525383][ T6207] bond0: (slave bond_slave_0): Enslaving as an active interface with an up link
[  586.542776][ T6198] chnl_net:caif_netlink_parms(): no params data found
[  586.550469][ T6240] bridge0: port 1(bridge_slave_0) entered blocking state
[  586.550888][ T6240] bridge0: port 1(bridge_slave_0) entered disabled state
[  586.551328][ T6240] bridge_slave_0: entered allmulticast mode
[  586.551980][ T6240] bridge_slave_0: entered promiscuous mode
[  586.555266][ T6252] chnl_net:caif_netlink_parms(): no params data found
[  586.566088][ T6207] bond0: (slave bond_slave_1): Enslaving as an active interface with an up link
[  586.581694][ T6240] bridge0: port 2(bridge_slave_1) entered blocking state
[  586.582200][ T6240] bridge0: port 2(bridge_slave_1) entered disabled state
[  586.582675][ T6240] bridge_slave_1: entered allmulticast mode
[  586.583414][ T6240] bridge_slave_1: entered promiscuous mode
[  586.600987][ T6207] team0: Port device team_slave_0 added
