
Debian GNU/Linux 11 syzkaller ttyS0

Warning: Permanently added '[localhost]:14393' (ED25519) to the list of known hosts.
2024/05/20 01:39:10 ignoring optional flag "sandboxArg"="0"
2024/05/20 01:39:10 parsed 1 programs
syzkaller login: [  239.357004][ T6181] cgroup: Unknown subsys name 'net'
[  239.519645][ T6181] cgroup: Unknown subsys name 'rlimit'
[  239.743227][ T6181] Adding 124996k swap on ./swap-file.  Priority:0 extents:1 across:124996k 
2024/05/20 01:39:11 executed programs: 0
[  239.850414][ T6209] Bluetooth: hci0: unexpected cc 0x0c03 length: 249 > 1
[  239.851581][ T6209] Bluetooth: hci0: unexpected cc 0x1003 length: 249 > 9
[  239.852362][ T6209] Bluetooth: hci0: unexpected cc 0x1001 length: 249 > 9
[  239.853200][ T6209] Bluetooth: hci0: unexpected cc 0x0c23 length: 249 > 4
[  239.853928][ T6209] Bluetooth: hci0: unexpected cc 0x0c25 length: 249 > 3
[  239.854564][ T6209] Bluetooth: hci0: unexpected cc 0x0c38 length: 249 > 2
[  239.881875][ T6209] Bluetooth: hci1: unexpected cc 0x0c03 length: 249 > 1
[  239.883021][ T6209] Bluetooth: hci1: unexpected cc 0x1003 length: 249 > 9
[  239.883678][ T6209] Bluetooth: hci1: unexpected cc 0x1001 length: 249 > 9
[  239.884524][ T6209] Bluetooth: hci1: unexpected cc 0x0c23 length: 249 > 4
[  239.885237][ T6209] Bluetooth: hci1: unexpected cc 0x0c25 length: 249 > 3
[  239.885872][ T6209] Bluetooth: hci1: unexpected cc 0x0c38 length: 249 > 2
[  240.048540][ T6237] Bluetooth: hci5: unexpected cc 0x0c03 length: 249 > 1
[  240.051266][ T6237] Bluetooth: hci2: unexpected cc 0x0c03 length: 249 > 1
[  240.052808][ T6237] Bluetooth: hci2: unexpected cc 0x1003 length: 249 > 9
[  240.053420][ T6237] Bluetooth: hci2: unexpected cc 0x1001 length: 249 > 9
[  240.054196][ T6237] Bluetooth: hci2: unexpected cc 0x0c23 length: 249 > 4
[  240.054869][ T6237] Bluetooth: hci2: unexpected cc 0x0c25 length: 249 > 3
[  240.055463][ T6237] Bluetooth: hci2: unexpected cc 0x0c38 length: 249 > 2
[  240.057098][ T6237] Bluetooth: hci6: unexpected cc 0x0c03 length: 249 > 1
[  240.058091][ T6237] Bluetooth: hci6: unexpected cc 0x1003 length: 249 > 9
[  240.058704][ T6237] Bluetooth: hci6: unexpected cc 0x1001 length: 249 > 9
[  240.059483][ T6237] Bluetooth: hci6: unexpected cc 0x0c23 length: 249 > 4
[  240.060164][ T6237] Bluetooth: hci6: unexpected cc 0x0c25 length: 249 > 3
[  240.060767][ T6237] Bluetooth: hci6: unexpected cc 0x0c38 length: 249 > 2
[  240.091182][ T6258] Bluetooth: hci5: unexpected cc 0x1003 length: 249 > 9
[  240.092305][ T6258] Bluetooth: hci7: unexpected cc 0x0c03 length: 249 > 1
[  240.093331][ T6258] Bluetooth: hci5: unexpected cc 0x1001 length: 249 > 9
[  240.093877][ T6200] Bluetooth: hci7: unexpected cc 0x1003 length: 249 > 9
[  240.094734][ T6258] Bluetooth: hci7: unexpected cc 0x1001 length: 249 > 9
[  240.095657][ T6258] Bluetooth: hci7: unexpected cc 0x0c23 length: 249 > 4
[  240.096255][ T6258] Bluetooth: hci5: unexpected cc 0x0c23 length: 249 > 4
[  240.096909][ T6258] Bluetooth: hci7: unexpected cc 0x0c25 length: 249 > 3
[  240.097533][ T6200] Bluetooth: hci7: unexpected cc 0x0c38 length: 249 > 2
[  240.098157][ T6258] Bluetooth: hci5: unexpected cc 0x0c25 length: 249 > 3
[  240.098862][ T6258] Bluetooth: hci5: unexpected cc 0x0c38 length: 249 > 2
[  240.101998][ T3434] Bluetooth: hci3: unexpected cc 0x0c03 length: 249 > 1
[  240.114303][ T3434] Bluetooth: hci3: unexpected cc 0x1003 length: 249 > 9
[  240.131250][ T3434] Bluetooth: hci4: unexpected cc 0x0c03 length: 249 > 1
[  240.144557][ T3434] Bluetooth: hci4: unexpected cc 0x1003 length: 249 > 9
[  240.145350][ T3434] Bluetooth: hci3: unexpected cc 0x1001 length: 249 > 9
[  240.146147][ T3434] Bluetooth: hci4: unexpected cc 0x1001 length: 249 > 9
[  240.147125][ T6258] Bluetooth: hci3: unexpected cc 0x0c23 length: 249 > 4
[  240.147153][ T3434] Bluetooth: hci4: unexpected cc 0x0c23 length: 249 > 4
[  240.152105][ T3434] Bluetooth: hci4: unexpected cc 0x0c25 length: 249 > 3
[  240.152812][ T6258] Bluetooth: hci4: unexpected cc 0x0c38 length: 249 > 2
[  240.152821][ T3434] Bluetooth: hci3: unexpected cc 0x0c25 length: 249 > 3
[  240.154083][ T3434] Bluetooth: hci3: unexpected cc 0x0c38 length: 249 > 2
[  240.434068][ T6225] chnl_net:caif_netlink_parms(): no params data found
[  240.464150][ T6250] chnl_net:caif_netlink_parms(): no params data found
[  240.571511][ T6204] chnl_net:caif_netlink_parms(): no params data found
[  240.573467][ T6221] chnl_net:caif_netlink_parms(): no params data found
[  240.583862][ T6228] chnl_net:caif_netlink_parms(): no params data found
[  240.645438][ T6197] chnl_net:caif_netlink_parms(): no params data found
[  240.684134][ T6222] chnl_net:caif_netlink_parms(): no params data found
[  240.730234][ T6221] bridge0: port 1(bridge_slave_0) entered blocking state
[  240.730754][ T6221] bridge0: port 1(bridge_slave_0) entered disabled state
[  240.731303][ T6221] bridge_slave_0: entered allmulticast mode
[  240.732245][ T6221] bridge_slave_0: entered promiscuous mode
[  240.753738][ T6221] bridge0: port 2(bridge_slave_1) entered blocking state
[  240.754325][ T6221] bridge0: port 2(bridge_slave_1) entered disabled state
[  240.754956][ T6221] bridge_slave_1: entered allmulticast mode
[  240.755853][ T6221] bridge_slave_1: entered promiscuous mode
[  240.802422][ T6225] bridge0: port 1(bridge_slave_0) entered blocking state
[  240.802986][ T6225] bridge0: port 1(bridge_slave_0) entered disabled state
[  240.803579][ T6225] bridge_slave_0: entered allmulticast mode
[  240.804457][ T6225] bridge_slave_0: entered promiscuous mode
[  240.806562][ T6221] bond0: (slave bond_slave_0): Enslaving as an active interface with an up link
[  240.807666][ T6250] bridge0: port 1(bridge_slave_0) entered blocking state
[  240.808203][ T6250] bridge0: port 1(bridge_slave_0) entered disabled state
[  240.808775][ T6250] bridge_slave_0: entered allmulticast mode
[  240.809652][ T6250] bridge_slave_0: entered promiscuous mode
[  240.811259][ T6250] bridge0: port 2(bridge_slave_1) entered blocking state
[  240.811857][ T6250] bridge0: port 2(bridge_slave_1) entered disabled state
[  240.812447][ T6250] bridge_slave_1: entered allmulticast mode
[  240.813299][ T6250] bridge_slave_1: entered promiscuous mode
[  240.829926][ T6228] bridge0: port 1(bridge_slave_0) entered blocking state
[  240.830531][ T6228] bridge0: port 1(bridge_slave_0) entered disabled state
[  240.831131][ T6228] bridge_slave_0: entered allmulticast mode
[  240.832172][ T6228] bridge_slave_0: entered promiscuous mode
[  240.833827][ T6221] bond0: (slave bond_slave_1): Enslaving as an active interface with an up link
[  240.844191][ T6225] bridge0: port 2(bridge_slave_1) entered blocking state
[  240.844779][ T6225] bridge0: port 2(bridge_slave_1) entered disabled state
[  240.845403][ T6225] bridge_slave_1: entered allmulticast mode
[  240.846333][ T6225] bridge_slave_1: entered promiscuous mode
[  240.852400][ T6223] chnl_net:caif_netlink_parms(): no params data found
[  240.870191][ T6228] bridge0: port 2(bridge_slave_1) entered blocking state
[  240.870760][ T6228] bridge0: port 2(bridge_slave_1) entered disabled state
[  240.871340][ T6228] bridge_slave_1: entered allmulticast mode
[  240.872506][ T6228] bridge_slave_1: entered promiscuous mode
[  240.884736][ T6250] bond0: (slave bond_slave_0): Enslaving as an active interface with an up link
[  240.886374][ T6228] bond0: (slave bond_slave_0): Enslaving as an active interface with an up link
[  240.888367][ T6228] bond0: (slave bond_slave_1): Enslaving as an active interface with an up link
[  240.905948][ T6204] bridge0: port 1(bridge_slave_0) entered blocking state
[  240.906519][ T6204] bridge0: port 1(bridge_slave_0) entered disabled state
[  240.907114][ T6204] bridge_slave_0: entered allmulticast mode
[  240.907998][ T6204] bridge_slave_0: entered promiscuous mode
[  240.917919][ T6221] team0: Port device team_slave_0 added
[  240.938000][ T6250] bond0: (slave bond_slave_1): Enslaving as an active interface with an up link
[  240.940664][ T6228] team0: Port device team_slave_0 added
[  240.948179][ T6225] bond0: (slave bond_slave_0): Enslaving as an active interface with an up link
[  240.948983][ T6204] bridge0: port 2(bridge_slave_1) entered blocking state
[  240.949502][ T6204] bridge0: port 2(bridge_slave_1) entered disabled state
[  240.950089][ T6204] bridge_slave_1: entered allmulticast mode
[  240.950965][ T6204] bridge_slave_1: entered promiscuous mode
[  240.952493][ T6225] bond0: (slave bond_slave_1): Enslaving as an active interface with an up link
[  240.958207][ T6221] team0: Port device team_slave_1 added
[  240.964748][ T6222] bridge0: port 1(bridge_slave_0) entered blocking state
[  240.965326][ T6222] bridge0: port 1(bridge_slave_0) entered disabled state
[  240.965953][ T6222] bridge_slave_0: entered allmulticast mode
[  240.966849][ T6222] bridge_slave_0: entered promiscuous mode
[  240.978947][ T6228] team0: Port device team_slave_1 added
[  240.979530][ T6197] bridge0: port 1(bridge_slave_0) entered blocking state
[  240.980097][ T6197] bridge0: port 1(bridge_slave_0) entered disabled state
[  240.980682][ T6197] bridge_slave_0: entered allmulticast mode
[  240.981568][ T6197] bridge_slave_0: entered promiscuous mode
[  241.002842][ T6204] bond0: (slave bond_slave_0): Enslaving as an active interface with an up link
[  241.007575][ T6222] bridge0: port 2(bridge_slave_1) entered blocking state
[  241.008120][ T6222] bridge0: port 2(bridge_slave_1) entered disabled state
